tag,top_tokens
*special,"stepan, outputoutput, input le, marker, integ outputoutput, charact long, remov element, integ output, integ inclus, dataset, output output, subtask point"
2-sat,"imposs, oper matrix, vadim, great, bet, club, ant, destruct, array satisfi, satisfi statement, squar board, short"
binary search,"maximum, quickli, contigu, queri, minimum valu, deliveri, id id, valu possibl, split array, ge, ab, dormitori"
bitmasks,"bitwis, bitwis oper, oplu, denot bitwis, odd number, binari, binari form, bit binari, bit, binari represent, neg integ, le outputoutput"
brute force,"painter, fibonacci, mathit, given point, case shown, multipl optim, mike, rotat, gcd gcd, perfect, th student, artist"
chinese remainder theorem,"hidden number, script, arya, segment array, nikita, solut multipl, win strategi, defin array, summand, adjac cell, integ satisfi, order segment"
combinatorics,"modulo, consid differ, output modulo, differ, modulo note, count number, modulo input, larg, subset, way, print number, modulo examplesinput"
communication,"run, player player, juri, end interact, agre, commun, purpos, act, player, inform receiv, inform, strategi"
constructive algorithms,"line print, solut, construct, print line, exist, exactli, print exampleinput, print, proven, multipl, answer print, startup"
data structures,"queri, le cdot, updat, arkadi, outputprint number, monitor, reduc, delet, segment, second type, cdot number, characterist"
dfs and similar,"tree, guarante, vertex, col, ad edg, connect, mean edg, le neq, node, root vertex, guarante given, integ weight"
divide and conquer,"queri, thief, case interest, mid, integ defin, calcul number, queri guarante, contain subarray, occur exactli, timofey, inputon, choos sequenc"
dp,"modulo, probabl, subsequ, scale, chang order, output singl, integ minimum, case good, lose, rightarrow rightarrow, maxim, number way"
dsu,"connect, vessel, add edg, snow, weight edg, citi connect, case graph, order print, vertic number, clue, babi, connect road"
expression parsing,"ternari, digit posit, comma, squar bracket, posit time, comment, charact guarante, ok, parenthesi, base code, coloni, bracket"
fft,"modulo, modulo examplesinput, comput, occur string, ldot number, transform, kind, mod, beauti color, permut, comput th, valid"
flows,"flow, capac, maximum flow, maximum, port, bandwidth, river, optim, summon, unit, attract, direct"
games,"play optim, win, optim, lose, player, turn, play, game end, choos, move, oppon, bob play"
geometry,"plane, angl, triangl, point, polygon, coordin, area, radiu, view, convex, vec, speed"
graph matchings,"yr, club, queue, cost min, graph contain, noteth test, polynomi, pure, summon, delici, cat, dish"
graphs,"connect, graph, neq, road, guarante, le neq, edg, set, passag, pair, vertex, multipl edg"
greedy,"minimum number, minimum, possibl, minim, maximum, maximum number, oper need, suppos, print examplesinput, lexicograph, lexicograph minim, choos"
hashing,"isomorph, assumpt, zz, string, left half, ab, proper, repres string, number occurr, ldot ldot, note answer, denot"
implementation,"encount, anya, subrectangl, ai ai, difficulti, requir sum, live, valera, xrightarrow texttt, integ doesn, wear, grid grid"
interactive,"interact, interact problem, flush, flush output, queri, juri, hidden, interactor, stdout, id id, exceed note, read"
math,"modulo, probabl, divis, digit decim, cdot cdot, divisor, respect outputprint, perfect squar, follow choos, cdot, respect outputfor, nikita"
matrices,"probabl, modulo, ak, barney, bmod inputth, vec, guarante prime, arthur, visit planet, blackboard, nm, trap"
meet-in-the-middle,"activ, mod mod, pan, choos sequenc, binari represent, hero, perman, number sector, place team, nightmar, binari, extens"
number theory,"divisor, gcd, prime, divis, bmod, lcm, product, coprim, prime number, greatest common, common divisor, greatest"
probabilities,"probabl, expect, expect number, expect valu, random, randomli, equiprob, uniformli, op, list, chanc, mathemat expect"
schedules,"answer examplesinput, outputon, eve, cdot prime, product cdot, integ answer, case correct, uncl, chri, number product, case pair, pair suitabl"
shortest paths,"shortest, length shortest, minimum, flight, reach, path, shortest path, bf, travel, number road, connect, timofey"
sortings,"rearrang, sort, reorder, choos exactli, th, optim, tv, air, user, select, gerald, guarante sum"
string suffix structures,"substr, ababa, lcp, cd, simon, string, abacaba, common prefix, english letter, occur, band, total length"
strings,"string, aaa, english, oper string, lowercas, word, repres string, latin, consist lowercas, ab, string le, distinct charact"
ternary search,"mission, trade, pavel, want choos, exampl match, squad, pillar, attract, dragon, poor, total strength, usual"
trees,"tree, connect, form tree, path, vertic, superior, simpl path, given tree, road, root, beauti subarray, node"
two pointers,"minimum valu, cdot le, outputprint number, bj, exactli posit, slime, th class, effici, exampl consid, orc, th weight, calcul number"
